transactionID,sourceAccountID,targetAccountID,timestamp,fan_in_bins_2-3,fan_in_bins_3-inf,fan_out_bins_2-3,fan_out_bins_3-inf,degree_in_bins_2-3,degree_in_bins_3-inf,degree_out_bins_2-3,degree_out_bins_3-inf,scatter-gather_bins_2-3,scatter-gather_bins_3-inf,temp-cycle_bins_2-3,temp-cycle_bins_3-inf,source_fan_out,source_deg_out,source_ratio_out,source_avg_col3_out,source_sum_col3_out,source_var_col3_out,source_skew_col3_out,source_kurtosis_col3_out,source_fan_in,source_deg_in,source_ratio_in,source_avg_col3_in,source_sum_col3_in,source_var_col3_in,source_skew_col3_in,source_kurtosis_col3_in,dest_fan_out,dest_deg_out,dest_ratio_out,dest_avg_col3_out,dest_sum_col3_out,dest_var_col3_out,dest_skew_col3_out,dest_kurtosis_col3_out,dest_fan_in,dest_deg_in,dest_ratio_in,dest_avg_col3_in,dest_sum_col3_in,dest_var_col3_in,dest_skew_col3_in,dest_kurtosis_col3_in,Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,sourceAccount,targetAccount
1.0,8.0,9.0,10.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,3.0,5.0,11.0,0.0,3.0,11.0,17.0,1.5454545454545454,10.0,250.0,0.0,0.0,0.0,11.0,15.0,1.3636363636363635,9.0,252.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,1.7,15.47368421052632,588.0,57.61772853185595,0.6656402354702746,1.4430769230769234,2022-09-01 00:20:00,3208.0,8000F4580,1.0,8000F5340,0.01,US Dollar,0.01,US Dollar,Cheque,0.0,32088000F4580,18000F5340
12.0,13.0,14.0,22.0,0.0,10.0,0.0,5.0,0.0,10.0,0.0,5.0,8.0,7.0,0.0,10.0,14.0,18.0,1.2857142857142858,17.659090909090903,777.0,63.042871900826434,0.03285756848324513,1.402102626246309,11.0,15.0,1.3636363636363635,19.71428571428571,414.0,53.06122448979592,0.4902903378454603,1.2403846153846156,11.0,14.0,1.2727272727272727,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.4,22.0,374.0,0.0,0.0,0.0,2022-09-01 00:08:00,1.0,8000F4FE0,245335.0,812ED62E0,4.01,US Dollar,4.01,US Dollar,Credit Card,0.0,18000F4FE0,245335812ED62E0
24.0,25.0,28.0,29.0,0.0,8.0,0.0,5.0,0.0,8.0,0.0,5.0,8.0,5.0,0.0,4.0,7.0,8.0,1.1428571428571428,29.0,348.0,0.0,0.0,0.0,12.0,14.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.4,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.125,29.0,348.0,0.0,0.0,0.0,2022-09-01 00:21:00,10.0,8005F0B50,13327.0,810B0FB40,86.3,US Dollar,86.3,US Dollar,Credit Card,0.0,108005F0B50,13327810B0FB40
32.0,33.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,36.0,72.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,38.0,0.0,0.0,0.0,2022-09-01 00:26:00,10.0,800058100,1688.0,8005FD430,159271.0,US Dollar,159271.0,US Dollar,ACH,0.0,10800058100,16888005FD430
39.0,40.0,42.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.0,43.0,0.0,0.0,0.0,1.0,2.0,2.0,41.0,82.0,0.0,0.0,0.0,1.0,2.0,2.0,44.0,88.0,0.0,0.0,0.0,1.0,1.0,1.0,43.0,43.0,0.0,0.0,0.0,2022-09-01 00:15:00,1674.0,800AC8E30,1420.0,801008520,5069.19,US Dollar,5069.19,US Dollar,Cheque,0.0,1674800AC8E30,1420801008520
44.0,45.0,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,46.0,230.0,0.0,0.0,0.0,2.0,3.0,1.5,46.166666666666664,277.0,0.13888888888888928,1.7888543819998288,4.199999999999989,2022-09-01 00:02:00,1411.0,800AC9E20,1124.0,814233CC0,146.97,US Dollar,146.97,US Dollar,Credit Card,0.0,1411800AC9E20,1124814233CC0
49.0,50.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,162.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,162.0,0.0,0.0,0.0,2022-09-01 00:14:00,1674.0,801009860,1411.0,80100A2C0,424245.0,US Dollar,424245.0,US Dollar,Cheque,0.0,1674801009860,141180100A2C0
55.0,56.0,57.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,59.0,0.0,0.0,0.0,1.0,2.0,2.0,57.0,228.0,0.0,0.0,0.0,1.0,2.0,2.0,59.0,118.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,59.0,0.0,0.0,0.0,2022-09-01 00:22:00,1457.0,80100D180,15916.0,803177AF0,406.38,US Dollar,406.38,US Dollar,Credit Card,0.0,145780100D180,15916803177AF0
60.0,61.0,62.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,63.0,378.0,1.0,-1.8503717077085943e-16,1.0000000000000029,2.0,3.0,1.5,62.0,186.0,0.0,0.0,0.0,1.0,2.0,2.0,63.0,126.0,0.0,0.0,0.0,1.0,1.0,1.0,64.0,192.0,0.0,0.0,0.0,2022-09-01 00:12:00,1.0,8012275D0,12.0,80141ED50,13818883.0,US Dollar,13818883.0,US Dollar,Cheque,0.0,18012275D0,1280141ED50
65.0,66.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,93.0,372.0,576.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,68.0,204.0,0.0,0.0,0.0,2.0,2.0,1.0,69.0,138.0,0.0,0.0,0.0,2022-09-01 00:28:00,12.0,80141ED50,23885.0,805DEB4F0,77.15,US Dollar,77.15,US Dollar,Credit Card,0.0,1280141ED50,23885805DEB4F0
